tdate,SA,BR,ID,IN,MY,MX,KR,RU,TW,CN
1998-09-03,-0.054997026417910516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-09-04,-0.054601278414405756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-09-07,-0.053178303675950174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-09-08,-0.052688856531010214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-09-09,-0.052688856531010214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-09-10,-0.052182839078929594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-09-11,-0.05199902783184328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-09-14,-0.05199902783184328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-09-15,-0.052057060654228084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-09-16,-0.052057060654228084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-09-17,-0.052057060654228084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-09-18,-0.052057060654228084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-09-21,-0.052057060654228084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-09-22,-0.052057060654228084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-09-23,-0.049353512639152906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-09-24,-0.049364886004309945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-09-25,-0.049364886004309945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-09-28,-0.049364886004309945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-09-29,-0.049364886004309945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-09-30,-0.049364886004309945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-10-01,-0.049364886004309945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-10-02,-0.049364886004309945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-10-05,-0.049803302489090796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-10-06,-0.049803302489090796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-10-07,-0.049803302489090796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-10-08,-0.04937114540955116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-10-09,-0.04937114540955116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-10-12,-0.04886704239841488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-10-13,-0.04886704239841488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-10-14,-0.04886704239841488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-10-15,-0.04883885883074514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-10-16,-0.046943756237035485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-10-19,-0.046943756237035485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-10-20,-0.046943756237035485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-10-21,-0.04774129962428133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-10-22,-0.04774129962428133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-10-23,-0.04774129962428133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-10-26,-0.04774129962428133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-10-27,-0.04774129962428133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-10-28,-0.04774129962428133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-10-29,-0.04774129962428133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-30,-0.05263514601024941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-12-01,-0.05263514601024941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-12-02,-0.05263514601024941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-12-03,-0.05263514601024941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-12-04,-0.05263514601024941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-12-07,-0.05263514601024941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-12-08,-0.05263514601024941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-12-09,-0.052686297074667196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-12-10,-0.052686297074667196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-12-11,-0.05292096649573461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-12-14,-0.05292096649573461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-12-15,-0.05685898216263051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-12-16,-0.05685898216263051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-12-17,-0.05996286625305795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-12-18,-0.05996286625305795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-12-21,-0.05996286625305795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-12-22,-0.05996286625305795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-12-23,-0.05996286625305795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-12-24,-0.05996286625305795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-12-25,-0.06733206528351238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-12-28,-0.06733206528351238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-12-29,-0.06733206528351238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-12-30,-0.07128860624316308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-12-31,-0.07229108659377115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-01-01,-0.07710085229664455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-01-04,-0.07710085229664455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-01-05,-0.07710085229664455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-01-06,-0.07314164074750802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-01-07,-0.07314164074750802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-01-08,-0.07349953213520836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-01-11,-0.07512789889571744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-01-12,-0.07584904420683347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-01-13,-0.06959684892426017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-01-14,-0.07060289380858603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-01-15,-0.07131828226174154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-01-18,-0.07104517913203827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-01-19,-0.07120489640884864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-01-20,-0.07120489640884864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-01-21,-0.07120489640884864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-01-22,-0.07120489640884864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-01-25,-0.07302904240134733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-01-26,-0.07302904240134733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-01-27,-0.07480811427813276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-01-28,-0.07480811427813276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
