tdate,CAC,AEX,SPX,DAX,HSI,IBEX,NKY,TSX,OMX,SG,SMI,MIB,AS51,FTSE
1994-10-25,0.0,0.08089058327389084,-0.08089058327389084,0.0,0.0,0.08089058327389084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08089058327389084
1994-10-26,0.0,0.08089058327389084,-0.08089058327389084,0.0,0.0,0.08089058327389084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08089058327389084
1994-10-27,0.0,0.08089058327389084,-0.08089058327389084,0.0,0.0,0.08089058327389084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08089058327389084
1994-10-28,0.0,0.08089058327389084,-0.08089058327389084,0.0,0.0,0.08089058327389084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08089058327389084
1994-10-31,0.0,0.08686433525749719,-0.08686433525749719,-0.08686433525749719,0.0,0.08686433525749719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-11-01,0.0,0.08686433525749719,-0.08686433525749719,-0.08686433525749719,0.0,0.08686433525749719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-11-02,0.0,0.08686433525749719,-0.08686433525749719,-0.08686433525749719,0.0,0.08686433525749719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-11-03,0.0,0.08686433525749719,-0.08686433525749719,-0.08686433525749719,0.0,0.08686433525749719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-11-04,0.0,0.08686433525749719,-0.08686433525749719,-0.08686433525749719,0.0,0.08686433525749719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-11-07,0.0,0.08686433525749719,-0.08686433525749719,-0.08686433525749719,0.0,0.08686433525749719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-11-08,0.0,0.08686433525749719,-0.08686433525749719,-0.08686433525749719,0.0,0.08686433525749719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-11-09,0.0,0.08686433525749719,-0.08686433525749719,-0.08686433525749719,0.0,0.08686433525749719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-11-10,0.0,0.08686433525749719,-0.08686433525749719,-0.08686433525749719,0.0,0.08686433525749719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-11-11,0.0,0.08686433525749719,-0.08686433525749719,-0.08686433525749719,0.0,0.08686433525749719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-11-14,0.0,0.08686433525749719,-0.08686433525749719,-0.08686433525749719,0.0,0.08686433525749719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-11-15,0.0,0.08686433525749719,-0.08686433525749719,-0.08686433525749719,0.0,0.08686433525749719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-11-16,0.0,0.08686433525749719,-0.08686433525749719,-0.08686433525749719,0.0,0.08686433525749719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-11-17,0.0,0.08686433525749719,-0.08686433525749719,-0.08686433525749719,0.0,0.08686433525749719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-11-18,0.0,0.08686433525749719,-0.08686433525749719,-0.08686433525749719,0.0,0.08686433525749719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-11-21,0.0,0.08686433525749719,-0.08686433525749719,-0.08686433525749719,0.0,0.08686433525749719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-11-22,0.0,0.08686433525749719,-0.08686433525749719,-0.08686433525749719,0.0,0.08686433525749719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-11-23,0.0,0.08686433525749719,-0.08686433525749719,-0.08686433525749719,0.0,0.08686433525749719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-11-24,0.0,0.08686433525749719,-0.08686433525749719,-0.08686433525749719,0.0,0.08686433525749719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-11-25,0.0,0.08686433525749719,-0.08686433525749719,-0.08686433525749719,0.0,0.08686433525749719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-11-28,0.0,0.08686433525749719,-0.08686433525749719,-0.08686433525749719,0.0,0.08686433525749719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-11-29,0.0,0.09487677813135392,-0.09487677813135392,-0.09487677813135392,0.0,0.09487677813135392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-11-30,0.0,0.11421125357130227,-0.11421125357130227,-0.11421125357130227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11421125357130227
1994-12-01,0.0,0.11421125357130227,-0.11421125357130227,-0.11421125357130227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11421125357130227
1994-12-02,0.0,0.11421125357130227,-0.11421125357130227,-0.11421125357130227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11421125357130227
1994-12-05,0.0,0.11421125357130227,-0.11421125357130227,-0.11421125357130227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11421125357130227
1994-12-06,0.0,0.11421125357130227,-0.11421125357130227,-0.11421125357130227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11421125357130227
1994-12-07,0.0,0.11421125357130227,-0.11421125357130227,-0.11421125357130227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11421125357130227
1994-12-08,0.0,0.11421125357130227,-0.11421125357130227,-0.11421125357130227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11421125357130227
1994-12-09,0.0,0.11421125357130227,-0.11421125357130227,-0.11421125357130227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11421125357130227
1994-12-12,0.0,0.11421125357130227,-0.11421125357130227,-0.11421125357130227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11421125357130227
1994-12-13,0.0,0.11421125357130227,-0.11421125357130227,-0.11421125357130227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11421125357130227
1994-12-14,0.0,0.11421125357130227,-0.11421125357130227,-0.11421125357130227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11421125357130227
1994-12-15,0.0,0.11421125357130227,-0.11421125357130227,-0.11421125357130227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11421125357130227
1994-12-16,0.0,0.11421125357130227,-0.11421125357130227,-0.11421125357130227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11421125357130227
1994-12-19,0.0,0.11421125357130227,-0.11421125357130227,-0.11421125357130227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11421125357130227
1994-12-20,0.0,0.11421125357130227,-0.11421125357130227,-0.11421125357130227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11421125357130227
1994-12-21,0.0,0.11421125357130227,-0.11421125357130227,-0.11421125357130227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11421125357130227
1994-12-22,0.0,0.11421125357130227,-0.11421125357130227,-0.11421125357130227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11421125357130227
1994-12-23,0.0,0.11421125357130227,-0.11421125357130227,-0.11421125357130227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11421125357130227
1994-12-26,0.0,0.11421125357130227,-0.11421125357130227,-0.11421125357130227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11421125357130227
1994-12-27,0.0,0.11421125357130227,-0.11421125357130227,-0.11421125357130227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11421125357130227
1994-12-28,0.0,0.11421125357130227,-0.11421125357130227,-0.11421125357130227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11421125357130227
1994-12-29,0.0,0.11421125357130227,-0.11421125357130227,-0.11421125357130227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11421125357130227
1994-12-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
