tdate,CAC,AEX,SPX,DAX,HSI,IBEX,NKY,TSX,OMX,SG,SMI,MIB,AS51,FTSE
2000-03-06,0.0,-0.03287903738593224,-0.03287903738593224,-0.03287903738593224,0.0,0.0,0.03287903738593224,0.03287903738593224,0.03287903738593224,-0.03287903738593224,-0.03287903738593224,0.03287903738593224,0.0,0.03287903738593224
2000-03-07,0.0,-0.03287903738593224,-0.03287903738593224,-0.03287903738593224,0.0,0.0,0.03287903738593224,0.03287903738593224,0.03287903738593224,-0.03287903738593224,-0.03287903738593224,0.03287903738593224,0.0,0.03287903738593224
2000-03-08,0.0,-0.03287903738593224,-0.03287903738593224,-0.03287903738593224,0.0,0.0,0.03287903738593224,0.03287903738593224,0.03287903738593224,-0.03287903738593224,-0.03287903738593224,0.03287903738593224,0.0,0.03287903738593224
2000-03-09,0.0,-0.03287903738593224,-0.03287903738593224,-0.03287903738593224,0.0,0.0,0.03287903738593224,0.03287903738593224,0.03287903738593224,-0.03287903738593224,-0.03287903738593224,0.03287903738593224,0.0,0.03287903738593224
2000-03-10,0.0,-0.03287903738593224,-0.03287903738593224,-0.03287903738593224,0.0,0.0,0.03287903738593224,0.03287903738593224,0.03287903738593224,-0.03287903738593224,-0.03287903738593224,0.03287903738593224,0.0,0.03287903738593224
2000-03-13,0.0,-0.03287903738593224,-0.03287903738593224,-0.03287903738593224,0.0,0.0,0.03287903738593224,0.03287903738593224,0.03287903738593224,-0.03287903738593224,-0.03287903738593224,0.03287903738593224,0.0,0.03287903738593224
2000-03-14,0.0,-0.03287903738593224,-0.03287903738593224,-0.03287903738593224,0.0,0.0,0.03287903738593224,0.03287903738593224,0.03287903738593224,-0.03287903738593224,-0.03287903738593224,0.03287903738593224,0.0,0.03287903738593224
2000-03-15,0.0,-0.03287903738593224,-0.03287903738593224,-0.03287903738593224,0.0,0.0,0.03287903738593224,0.03287903738593224,0.03287903738593224,-0.03287903738593224,-0.03287903738593224,0.03287903738593224,0.0,0.03287903738593224
2000-03-16,0.0,-0.03287903738593224,-0.03287903738593224,-0.03287903738593224,0.0,0.0,0.03287903738593224,0.03287903738593224,0.03287903738593224,-0.03287903738593224,-0.03287903738593224,0.03287903738593224,0.0,0.03287903738593224
2000-03-17,0.0,-0.03287903738593224,-0.03287903738593224,-0.03287903738593224,0.0,0.0,0.03287903738593224,0.03287903738593224,0.03287903738593224,-0.03287903738593224,-0.03287903738593224,0.03287903738593224,0.0,0.03287903738593224
2000-03-20,0.0,-0.03287903738593224,-0.03287903738593224,-0.03287903738593224,0.0,0.0,0.03287903738593224,0.03287903738593224,0.03287903738593224,-0.03287903738593224,-0.03287903738593224,0.03287903738593224,0.0,0.03287903738593224
2000-03-21,0.0,-0.030863775864113357,-0.030863775864113357,-0.030863775864113357,0.0,0.0,0.030863775864113357,0.030863775864113357,0.030863775864113357,-0.030863775864113357,-0.030863775864113357,0.030863775864113357,0.0,0.030863775864113357
2000-03-22,0.0,-0.030863775864113357,-0.030863775864113357,-0.030863775864113357,0.0,0.0,0.030863775864113357,0.030863775864113357,0.030863775864113357,-0.030863775864113357,-0.030863775864113357,0.030863775864113357,0.0,0.030863775864113357
2000-03-23,0.0,-0.030863775864113357,-0.030863775864113357,-0.030863775864113357,0.0,0.0,0.030863775864113357,0.030863775864113357,0.030863775864113357,-0.030863775864113357,-0.030863775864113357,0.030863775864113357,0.0,0.030863775864113357
2000-03-24,0.0,-0.030863775864113357,-0.030863775864113357,-0.030863775864113357,0.0,0.0,0.030863775864113357,0.030863775864113357,0.030863775864113357,-0.030863775864113357,-0.030863775864113357,0.030863775864113357,0.0,0.030863775864113357
2000-03-27,0.0,-0.030863775864113357,-0.030863775864113357,-0.030863775864113357,0.0,0.0,0.030863775864113357,0.030863775864113357,0.030863775864113357,-0.030863775864113357,-0.030863775864113357,0.030863775864113357,0.0,0.030863775864113357
2000-03-28,0.0,-0.030863775864113357,-0.030863775864113357,-0.030863775864113357,0.0,0.0,0.030863775864113357,0.030863775864113357,0.030863775864113357,-0.030863775864113357,-0.030863775864113357,0.030863775864113357,0.0,0.030863775864113357
2000-03-29,0.0,-0.030863775864113357,-0.030863775864113357,-0.030863775864113357,0.0,0.0,0.030863775864113357,0.030863775864113357,0.030863775864113357,-0.030863775864113357,-0.030863775864113357,0.030863775864113357,0.0,0.030863775864113357
2000-03-30,0.0,-0.030863775864113357,-0.030863775864113357,-0.030863775864113357,0.0,0.0,0.030863775864113357,0.030863775864113357,0.030863775864113357,-0.030863775864113357,-0.030863775864113357,0.030863775864113357,0.0,0.030863775864113357
2000-03-31,0.0,0.02503222774113814,-0.02503222774113814,-0.02503222774113814,0.02503222774113814,0.0,0.0,0.02503222774113814,0.02503222774113814,-0.02503222774113814,-0.02503222774113814,-0.02503222774113814,0.0,0.02503222774113814
2000-04-03,0.0,0.02503222774113814,-0.02503222774113814,-0.02503222774113814,0.02503222774113814,0.0,0.0,0.02503222774113814,0.02503222774113814,-0.02503222774113814,-0.02503222774113814,-0.02503222774113814,0.0,0.02503222774113814
2000-04-04,0.0,0.02503222774113814,-0.02503222774113814,-0.02503222774113814,0.02503222774113814,0.0,0.0,0.02503222774113814,0.02503222774113814,-0.02503222774113814,-0.02503222774113814,-0.02503222774113814,0.0,0.02503222774113814
2000-04-05,0.0,0.02503222774113814,-0.02503222774113814,-0.02503222774113814,0.02503222774113814,0.0,0.0,0.02503222774113814,0.02503222774113814,-0.02503222774113814,-0.02503222774113814,-0.02503222774113814,0.0,0.02503222774113814
2000-04-06,0.0,0.02503222774113814,-0.02503222774113814,-0.02503222774113814,0.02503222774113814,0.0,0.0,0.02503222774113814,0.02503222774113814,-0.02503222774113814,-0.02503222774113814,-0.02503222774113814,0.0,0.02503222774113814
2000-04-07,0.0,0.02503222774113814,-0.02503222774113814,-0.02503222774113814,0.02503222774113814,0.0,0.0,0.02503222774113814,0.02503222774113814,-0.02503222774113814,-0.02503222774113814,-0.02503222774113814,0.0,0.02503222774113814
2000-04-10,0.0,0.02503222774113814,-0.02503222774113814,-0.02503222774113814,0.02503222774113814,0.0,0.0,0.02503222774113814,0.02503222774113814,-0.02503222774113814,-0.02503222774113814,-0.02503222774113814,0.0,0.02503222774113814
2000-04-11,0.0,0.02503222774113814,-0.02503222774113814,-0.02503222774113814,0.02503222774113814,0.0,0.0,0.02503222774113814,0.02503222774113814,-0.02503222774113814,-0.02503222774113814,-0.02503222774113814,0.0,0.02503222774113814
2000-04-12,0.0,0.02503222774113814,-0.02503222774113814,-0.02503222774113814,0.02503222774113814,0.0,0.0,0.02503222774113814,0.02503222774113814,-0.02503222774113814,-0.02503222774113814,-0.02503222774113814,0.0,0.02503222774113814
2000-04-13,0.0,0.02503222774113814,-0.02503222774113814,-0.02503222774113814,0.02503222774113814,0.0,0.0,0.02503222774113814,0.02503222774113814,-0.02503222774113814,-0.02503222774113814,-0.02503222774113814,0.0,0.02503222774113814
2000-04-14,0.0,0.02503222774113814,-0.02503222774113814,-0.02503222774113814,0.02503222774113814,0.0,0.0,0.02503222774113814,0.02503222774113814,-0.02503222774113814,-0.02503222774113814,-0.02503222774113814,0.0,0.02503222774113814
2000-04-17,0.0,0.02503222774113814,-0.02503222774113814,-0.02503222774113814,0.02503222774113814,0.0,0.0,0.02503222774113814,0.02503222774113814,-0.02503222774113814,-0.02503222774113814,-0.02503222774113814,0.0,0.02503222774113814
2000-04-18,0.0,0.02503222774113814,-0.02503222774113814,-0.02503222774113814,0.02503222774113814,0.0,0.0,0.02503222774113814,0.02503222774113814,-0.02503222774113814,-0.02503222774113814,-0.02503222774113814,0.0,0.02503222774113814
2000-04-19,0.0,0.02503222774113814,-0.02503222774113814,-0.02503222774113814,0.02503222774113814,0.0,0.0,0.02503222774113814,0.02503222774113814,-0.02503222774113814,-0.02503222774113814,-0.02503222774113814,0.0,0.02503222774113814
2000-04-20,0.0,0.02503222774113814,-0.02503222774113814,-0.02503222774113814,0.02503222774113814,0.0,0.0,0.02503222774113814,0.02503222774113814,-0.02503222774113814,-0.02503222774113814,-0.02503222774113814,0.0,0.02503222774113814
2000-04-21,0.0,0.02503222774113814,-0.02503222774113814,-0.02503222774113814,0.02503222774113814,0.0,0.0,0.02503222774113814,0.02503222774113814,-0.02503222774113814,-0.02503222774113814,-0.02503222774113814,0.0,0.02503222774113814
2000-04-24,0.0,0.02503222774113814,-0.02503222774113814,-0.02503222774113814,0.02503222774113814,0.0,0.0,0.02503222774113814,0.02503222774113814,-0.02503222774113814,-0.02503222774113814,-0.02503222774113814,0.0,0.02503222774113814
2000-04-25,0.0,0.02503222774113814,-0.02503222774113814,-0.02503222774113814,0.02503222774113814,0.0,0.0,0.02503222774113814,0.02503222774113814,-0.02503222774113814,-0.02503222774113814,-0.02503222774113814,0.0,0.02503222774113814
2000-04-26,0.0,0.02503222774113814,-0.02503222774113814,-0.02503222774113814,0.02503222774113814,0.0,0.0,0.02503222774113814,0.02503222774113814,-0.02503222774113814,-0.02503222774113814,-0.02503222774113814,0.0,0.02503222774113814
2000-04-27,0.0,0.02503222774113814,-0.02503222774113814,-0.02503222774113814,0.02503222774113814,0.0,0.0,0.02503222774113814,0.02503222774113814,-0.02503222774113814,-0.02503222774113814,-0.02503222774113814,0.0,0.02503222774113814
2000-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-06-01,-0.02543374282482087,0.02543374282482087,-0.02543374282482087,0.0,0.0,0.0,0.02543374282482087,0.02543374282482087,0.02543374282482087,-0.02543374282482087,-0.02543374282482087,-0.02543374282482087,0.0,0.02543374282482087
2000-06-02,-0.02543374282482087,0.02543374282482087,-0.02543374282482087,0.0,0.0,0.0,0.02543374282482087,0.02543374282482087,0.02543374282482087,-0.02543374282482087,-0.02543374282482087,-0.02543374282482087,0.0,0.02543374282482087
2000-06-05,-0.02543374282482087,0.02543374282482087,-0.02543374282482087,0.0,0.0,0.0,0.02543374282482087,0.02543374282482087,0.02543374282482087,-0.02543374282482087,-0.02543374282482087,-0.02543374282482087,0.0,0.02543374282482087
2000-06-06,-0.02543374282482087,0.02543374282482087,-0.02543374282482087,0.0,0.0,0.0,0.02543374282482087,0.02543374282482087,0.02543374282482087,-0.02543374282482087,-0.02543374282482087,-0.02543374282482087,0.0,0.02543374282482087
2000-06-07,-0.02543374282482087,0.02543374282482087,-0.02543374282482087,0.0,0.0,0.0,0.02543374282482087,0.02543374282482087,0.02543374282482087,-0.02543374282482087,-0.02543374282482087,-0.02543374282482087,0.0,0.02543374282482087
2000-06-08,-0.02543374282482087,0.02543374282482087,-0.02543374282482087,0.0,0.0,0.0,0.02543374282482087,0.02543374282482087,0.02543374282482087,-0.02543374282482087,-0.02543374282482087,-0.02543374282482087,0.0,0.02543374282482087
2000-06-09,-0.02543374282482087,0.02543374282482087,-0.02543374282482087,0.0,0.0,0.0,0.02543374282482087,0.02543374282482087,0.02543374282482087,-0.02543374282482087,-0.02543374282482087,-0.02543374282482087,0.0,0.02543374282482087
2000-06-12,-0.02543374282482087,0.02543374282482087,-0.02543374282482087,0.0,0.0,0.0,0.02543374282482087,0.02543374282482087,0.02543374282482087,-0.02543374282482087,-0.02543374282482087,-0.02543374282482087,0.0,0.02543374282482087
2000-06-13,-0.02543374282482087,0.02543374282482087,-0.02543374282482087,0.0,0.0,0.0,0.02543374282482087,0.02543374282482087,0.02543374282482087,-0.02543374282482087,-0.02543374282482087,-0.02543374282482087,0.0,0.02543374282482087
2000-06-14,-0.02543374282482087,0.02543374282482087,-0.02543374282482087,0.0,0.0,0.0,0.02543374282482087,0.02543374282482087,0.02543374282482087,-0.02543374282482087,-0.02543374282482087,-0.02543374282482087,0.0,0.02543374282482087
2000-06-15,-0.02543374282482087,0.02543374282482087,-0.02543374282482087,0.0,0.0,0.0,0.02543374282482087,0.02543374282482087,0.02543374282482087,-0.02543374282482087,-0.02543374282482087,-0.02543374282482087,0.0,0.02543374282482087
2000-06-16,-0.02543374282482087,0.02543374282482087,-0.02543374282482087,0.0,0.0,0.0,0.02543374282482087,0.02543374282482087,0.02543374282482087,-0.02543374282482087,-0.02543374282482087,-0.02543374282482087,0.0,0.02543374282482087
2000-06-19,-0.02543374282482087,0.02543374282482087,-0.02543374282482087,0.0,0.0,0.0,0.02543374282482087,0.02543374282482087,0.02543374282482087,-0.02543374282482087,-0.02543374282482087,-0.02543374282482087,0.0,0.02543374282482087
2000-06-20,-0.02543374282482087,0.02543374282482087,-0.02543374282482087,0.0,0.0,0.0,0.02543374282482087,0.02543374282482087,0.02543374282482087,-0.02543374282482087,-0.02543374282482087,-0.02543374282482087,0.0,0.02543374282482087
2000-06-21,-0.02543374282482087,0.02543374282482087,-0.02543374282482087,0.0,0.0,0.0,0.02543374282482087,0.02543374282482087,0.02543374282482087,-0.02543374282482087,-0.02543374282482087,-0.02543374282482087,0.0,0.02543374282482087
2000-06-22,-0.02543374282482087,0.02543374282482087,-0.02543374282482087,0.0,0.0,0.0,0.02543374282482087,0.02543374282482087,0.02543374282482087,-0.02543374282482087,-0.02543374282482087,-0.02543374282482087,0.0,0.02543374282482087
2000-06-23,-0.02543374282482087,0.02543374282482087,-0.02543374282482087,0.0,0.0,0.0,0.02543374282482087,0.02543374282482087,0.02543374282482087,-0.02543374282482087,-0.02543374282482087,-0.02543374282482087,0.0,0.02543374282482087
2000-06-26,-0.02543374282482087,0.02543374282482087,-0.02543374282482087,0.0,0.0,0.0,0.02543374282482087,0.02543374282482087,0.02543374282482087,-0.02543374282482087,-0.02543374282482087,-0.02543374282482087,0.0,0.02543374282482087
2000-06-27,-0.027662497194108533,0.027662497194108533,-0.027662497194108533,0.0,0.0,0.0,0.027662497194108533,0.027662497194108533,0.027662497194108533,-0.027662497194108533,-0.027662497194108533,-0.027662497194108533,0.0,0.027662497194108533
2000-06-28,-0.027662497194108533,0.027662497194108533,-0.027662497194108533,0.0,0.0,0.0,0.027662497194108533,0.027662497194108533,0.027662497194108533,-0.027662497194108533,-0.027662497194108533,-0.027662497194108533,0.0,0.027662497194108533
2000-06-29,-0.027662497194108533,0.027662497194108533,-0.027662497194108533,0.0,0.0,0.0,0.027662497194108533,0.027662497194108533,0.027662497194108533,-0.027662497194108533,-0.027662497194108533,-0.027662497194108533,0.0,0.027662497194108533
2000-06-30,-0.024469864909429696,0.024469864909429696,-0.024469864909429696,0.0,0.024469864909429696,0.0,0.0,0.024469864909429696,0.024469864909429696,-0.024469864909429696,-0.024469864909429696,-0.024469864909429696,0.0,0.024469864909429696
2000-07-03,-0.024469864909429696,0.024469864909429696,-0.024469864909429696,0.0,0.024469864909429696,0.0,0.0,0.024469864909429696,0.024469864909429696,-0.024469864909429696,-0.024469864909429696,-0.024469864909429696,0.0,0.024469864909429696
2000-07-04,-0.02666101359553609,0.02666101359553609,-0.02666101359553609,0.0,0.02666101359553609,0.0,0.0,0.02666101359553609,0.02666101359553609,-0.02666101359553609,-0.02666101359553609,-0.02666101359553609,0.0,0.02666101359553609
2000-07-05,-0.02666101359553609,0.02666101359553609,-0.02666101359553609,0.0,0.02666101359553609,0.0,0.0,0.02666101359553609,0.02666101359553609,-0.02666101359553609,-0.02666101359553609,-0.02666101359553609,0.0,0.02666101359553609
2000-07-06,-0.02666101359553609,0.02666101359553609,-0.02666101359553609,0.0,0.02666101359553609,0.0,0.0,0.02666101359553609,0.02666101359553609,-0.02666101359553609,-0.02666101359553609,-0.02666101359553609,0.0,0.02666101359553609
2000-07-07,-0.02666101359553609,0.02666101359553609,-0.02666101359553609,0.0,0.02666101359553609,0.0,0.0,0.02666101359553609,0.02666101359553609,-0.02666101359553609,-0.02666101359553609,-0.02666101359553609,0.0,0.02666101359553609
2000-07-10,-0.02666101359553609,0.02666101359553609,-0.02666101359553609,0.0,0.02666101359553609,0.0,0.0,0.02666101359553609,0.02666101359553609,-0.02666101359553609,-0.02666101359553609,-0.02666101359553609,0.0,0.02666101359553609
2000-07-11,-0.02666101359553609,0.02666101359553609,-0.02666101359553609,0.0,0.02666101359553609,0.0,0.0,0.02666101359553609,0.02666101359553609,-0.02666101359553609,-0.02666101359553609,-0.02666101359553609,0.0,0.02666101359553609
2000-07-12,-0.02666101359553609,0.02666101359553609,-0.02666101359553609,0.0,0.02666101359553609,0.0,0.0,0.02666101359553609,0.02666101359553609,-0.02666101359553609,-0.02666101359553609,-0.02666101359553609,0.0,0.02666101359553609
2000-07-13,-0.02666101359553609,0.02666101359553609,-0.02666101359553609,0.0,0.02666101359553609,0.0,0.0,0.02666101359553609,0.02666101359553609,-0.02666101359553609,-0.02666101359553609,-0.02666101359553609,0.0,0.02666101359553609
2000-07-14,-0.02666101359553609,0.02666101359553609,-0.02666101359553609,0.0,0.02666101359553609,0.0,0.0,0.02666101359553609,0.02666101359553609,-0.02666101359553609,-0.02666101359553609,-0.02666101359553609,0.0,0.02666101359553609
2000-07-17,-0.02666101359553609,0.02666101359553609,-0.02666101359553609,0.0,0.02666101359553609,0.0,0.0,0.02666101359553609,0.02666101359553609,-0.02666101359553609,-0.02666101359553609,-0.02666101359553609,0.0,0.02666101359553609
2000-07-18,-0.02666101359553609,0.02666101359553609,-0.02666101359553609,0.0,0.02666101359553609,0.0,0.0,0.02666101359553609,0.02666101359553609,-0.02666101359553609,-0.02666101359553609,-0.02666101359553609,0.0,0.02666101359553609
2000-07-19,-0.02666101359553609,0.02666101359553609,-0.02666101359553609,0.0,0.02666101359553609,0.0,0.0,0.02666101359553609,0.02666101359553609,-0.02666101359553609,-0.02666101359553609,-0.02666101359553609,0.0,0.02666101359553609
2000-07-20,-0.02666101359553609,0.02666101359553609,-0.02666101359553609,0.0,0.02666101359553609,0.0,0.0,0.02666101359553609,0.02666101359553609,-0.02666101359553609,-0.02666101359553609,-0.02666101359553609,0.0,0.02666101359553609
2000-07-21,-0.02666101359553609,0.02666101359553609,-0.02666101359553609,0.0,0.02666101359553609,0.0,0.0,0.02666101359553609,0.02666101359553609,-0.02666101359553609,-0.02666101359553609,-0.02666101359553609,0.0,0.02666101359553609
2000-07-24,-0.02666101359553609,0.02666101359553609,-0.02666101359553609,0.0,0.02666101359553609,0.0,0.0,0.02666101359553609,0.02666101359553609,-0.02666101359553609,-0.02666101359553609,-0.02666101359553609,0.0,0.02666101359553609
2000-07-25,-0.02846611061808648,0.02846611061808648,-0.02846611061808648,0.0,0.02846611061808648,0.0,0.0,0.02846611061808648,0.02846611061808648,-0.02846611061808648,-0.02846611061808648,-0.02846611061808648,0.0,0.02846611061808648
2000-07-26,-0.02846611061808648,0.02846611061808648,-0.02846611061808648,0.0,0.02846611061808648,0.0,0.0,0.02846611061808648,0.02846611061808648,-0.02846611061808648,-0.02846611061808648,-0.02846611061808648,0.0,0.02846611061808648
2000-07-27,-0.02846611061808648,0.02846611061808648,-0.02846611061808648,0.0,0.02846611061808648,0.0,0.0,0.02846611061808648,0.02846611061808648,-0.02846611061808648,-0.02846611061808648,-0.02846611061808648,0.0,0.02846611061808648
2000-07-28,-0.02846611061808648,0.02846611061808648,-0.02846611061808648,0.0,0.02846611061808648,0.0,0.0,0.02846611061808648,0.02846611061808648,-0.02846611061808648,-0.02846611061808648,-0.02846611061808648,0.0,0.02846611061808648
2000-07-31,0.0,0.033963534783496306,-0.033963534783496306,-0.033963534783496306,0.0,0.0,0.033963534783496306,0.033963534783496306,0.033963534783496306,-0.033963534783496306,-0.033963534783496306,-0.033963534783496306,0.0,0.033963534783496306
2000-08-01,0.0,0.033963534783496306,-0.033963534783496306,-0.033963534783496306,0.0,0.0,0.033963534783496306,0.033963534783496306,0.033963534783496306,-0.033963534783496306,-0.033963534783496306,-0.033963534783496306,0.0,0.033963534783496306
2000-08-02,0.0,0.033963534783496306,-0.033963534783496306,-0.033963534783496306,0.0,0.0,0.033963534783496306,0.033963534783496306,0.033963534783496306,-0.033963534783496306,-0.033963534783496306,-0.033963534783496306,0.0,0.033963534783496306
2000-08-03,0.0,0.033963534783496306,-0.033963534783496306,-0.033963534783496306,0.0,0.0,0.033963534783496306,0.033963534783496306,0.033963534783496306,-0.033963534783496306,-0.033963534783496306,-0.033963534783496306,0.0,0.033963534783496306
2000-08-04,0.0,0.033963534783496306,-0.033963534783496306,-0.033963534783496306,0.0,0.0,0.033963534783496306,0.033963534783496306,0.033963534783496306,-0.033963534783496306,-0.033963534783496306,-0.033963534783496306,0.0,0.033963534783496306
2000-08-07,0.0,0.033963534783496306,-0.033963534783496306,-0.033963534783496306,0.0,0.0,0.033963534783496306,0.033963534783496306,0.033963534783496306,-0.033963534783496306,-0.033963534783496306,-0.033963534783496306,0.0,0.033963534783496306
2000-08-08,0.0,0.038290771836130354,-0.038290771836130354,-0.038290771836130354,0.0,0.0,0.038290771836130354,0.038290771836130354,0.038290771836130354,-0.038290771836130354,-0.038290771836130354,-0.038290771836130354,0.0,0.038290771836130354
2000-08-09,0.0,0.038290771836130354,-0.038290771836130354,-0.038290771836130354,0.0,0.0,0.038290771836130354,0.038290771836130354,0.038290771836130354,-0.038290771836130354,-0.038290771836130354,-0.038290771836130354,0.0,0.038290771836130354
2000-08-10,0.0,0.038290771836130354,-0.038290771836130354,-0.038290771836130354,0.0,0.0,0.038290771836130354,0.038290771836130354,0.038290771836130354,-0.038290771836130354,-0.038290771836130354,-0.038290771836130354,0.0,0.038290771836130354
2000-08-11,0.0,0.038290771836130354,-0.038290771836130354,-0.038290771836130354,0.0,0.0,0.038290771836130354,0.038290771836130354,0.038290771836130354,-0.038290771836130354,-0.038290771836130354,-0.038290771836130354,0.0,0.038290771836130354
2000-08-14,0.0,0.038290771836130354,-0.038290771836130354,-0.038290771836130354,0.0,0.0,0.038290771836130354,0.038290771836130354,0.038290771836130354,-0.038290771836130354,-0.038290771836130354,-0.038290771836130354,0.0,0.038290771836130354
2000-08-15,0.0,0.038290771836130354,-0.038290771836130354,-0.038290771836130354,0.0,0.0,0.038290771836130354,0.038290771836130354,0.038290771836130354,-0.038290771836130354,-0.038290771836130354,-0.038290771836130354,0.0,0.038290771836130354
2000-08-16,0.0,0.038290771836130354,-0.038290771836130354,-0.038290771836130354,0.0,0.0,0.038290771836130354,0.038290771836130354,0.038290771836130354,-0.038290771836130354,-0.038290771836130354,-0.038290771836130354,0.0,0.038290771836130354
2000-08-17,0.0,0.038290771836130354,-0.038290771836130354,-0.038290771836130354,0.0,0.0,0.038290771836130354,0.038290771836130354,0.038290771836130354,-0.038290771836130354,-0.038290771836130354,-0.038290771836130354,0.0,0.038290771836130354
2000-08-18,0.0,0.038290771836130354,-0.038290771836130354,-0.038290771836130354,0.0,0.0,0.038290771836130354,0.038290771836130354,0.038290771836130354,-0.038290771836130354,-0.038290771836130354,-0.038290771836130354,0.0,0.038290771836130354
2000-08-21,0.0,0.038290771836130354,-0.038290771836130354,-0.038290771836130354,0.0,0.0,0.038290771836130354,0.038290771836130354,0.038290771836130354,-0.038290771836130354,-0.038290771836130354,-0.038290771836130354,0.0,0.038290771836130354
2000-08-22,0.0,0.038290771836130354,-0.038290771836130354,-0.038290771836130354,0.0,0.0,0.038290771836130354,0.038290771836130354,0.038290771836130354,-0.038290771836130354,-0.038290771836130354,-0.038290771836130354,0.0,0.038290771836130354
2000-08-23,0.0,0.038290771836130354,-0.038290771836130354,-0.038290771836130354,0.0,0.0,0.038290771836130354,0.038290771836130354,0.038290771836130354,-0.038290771836130354,-0.038290771836130354,-0.038290771836130354,0.0,0.038290771836130354
2000-08-24,0.0,0.038290771836130354,-0.038290771836130354,-0.038290771836130354,0.0,0.0,0.038290771836130354,0.038290771836130354,0.038290771836130354,-0.038290771836130354,-0.038290771836130354,-0.038290771836130354,0.0,0.038290771836130354
2000-08-25,0.0,0.038290771836130354,-0.038290771836130354,-0.038290771836130354,0.0,0.0,0.038290771836130354,0.038290771836130354,0.038290771836130354,-0.038290771836130354,-0.038290771836130354,-0.038290771836130354,0.0,0.038290771836130354
2000-08-28,0.0,0.038290771836130354,-0.038290771836130354,-0.038290771836130354,0.0,0.0,0.038290771836130354,0.038290771836130354,0.038290771836130354,-0.038290771836130354,-0.038290771836130354,-0.038290771836130354,0.0,0.038290771836130354
2000-08-29,0.0,0.038290771836130354,-0.038290771836130354,-0.038290771836130354,0.0,0.0,0.038290771836130354,0.038290771836130354,0.038290771836130354,-0.038290771836130354,-0.038290771836130354,-0.038290771836130354,0.0,0.038290771836130354
2000-08-30,0.0,0.038290771836130354,-0.038290771836130354,-0.038290771836130354,0.0,0.0,0.038290771836130354,0.038290771836130354,0.038290771836130354,-0.038290771836130354,-0.038290771836130354,-0.038290771836130354,0.0,0.038290771836130354
2000-08-31,-0.03532580974023414,-0.03532580974023414,0.03532580974023414,-0.03532580974023414,0.03532580974023414,0.0,0.0,0.03532580974023414,0.03532580974023414,-0.03532580974023414,-0.03532580974023414,0.0,0.0,0.03532580974023414
