,GC,CL,NG,HG,C,S,SI,SB,XBW,SM,BO,W,KC,CT
1991-12-31,355.2000 ,19.1200 ,1.3430 ,97.5500 ,251.5000 ,557.0000 ,3.9120 ,9.0000 ,54.2400 ,172.6000 ,18.7800 ,404.7500 ,77.7000 ,59.1700 
1992-01-01,355.2000 ,19.1200 ,1.3430 ,97.5500 ,251.5000 ,557.0000 ,3.9120 ,9.0000 ,54.2400 ,172.6000 ,18.7800 ,404.7500 ,77.7000 ,59.1700 
1992-01-02,353.2000 ,19.4900 ,1.3050 ,95.6900 ,250.5000 ,550.1875 ,3.9750 ,8.5900 ,55.4400 ,170.5000 ,18.6600 ,400.7500 ,79.0000 ,59.5800 
1992-01-03,351.5000 ,19.2300 ,1.2990 ,96.0500 ,248.7500 ,551.0000 ,3.9720 ,8.4000 ,55.2700 ,169.6000 ,18.6900 ,399.5000 ,79.3000 ,59.8300 
1992-01-06,350.3000 ,19.2100 ,1.2780 ,96.0500 ,249.7500 ,559.0000 ,3.9670 ,8.4900 ,55.1800 ,171.9000 ,18.7600 ,398.5000 ,78.5000 ,60.1000 
1992-01-07,350.5000 ,18.6900 ,1.3040 ,95.1400 ,250.0000 ,558.0000 ,3.9420 ,8.3600 ,53.0700 ,171.6000 ,18.8700 ,396.2500 ,79.7500 ,60.4300 
1992-01-08,351.5000 ,17.8700 ,1.2900 ,94.5500 ,253.0000 ,565.3750 ,3.9700 ,8.4300 ,50.9900 ,174.2000 ,19.0200 ,404.5000 ,79.2500 ,59.4400 
1992-01-09,357.5000 ,17.8600 ,1.2590 ,94.3500 ,252.7500 ,566.3750 ,4.1530 ,8.4600 ,50.3400 ,173.3000 ,19.0900 ,400.7500 ,79.4000 ,57.7300 
1992-01-10,356.9000 ,18.2300 ,1.2060 ,95.0500 ,252.7500 ,564.0000 ,4.1050 ,8.5600 ,52.1600 ,174.2000 ,18.9100 ,403.0000 ,79.3500 ,57.8000 
1992-01-13,354.5000 ,18.7900 ,1.2340 ,94.8000 ,256.2500 ,566.6250 ,4.0870 ,8.4400 ,53.1000 ,175.3000 ,18.8800 ,411.5000 ,78.5500 ,56.5700 
1992-01-14,355.2000 ,18.4700 ,1.2470 ,94.6900 ,259.2500 ,560.3750 ,4.1000 ,8.3000 ,52.5300 ,172.1000 ,18.9800 ,413.0000 ,77.9000 ,56.9300 
1992-01-15,354.7000 ,18.8500 ,1.2940 ,95.8500 ,261.7500 ,571.1875 ,4.1600 ,8.2500 ,53.3400 ,174.7000 ,19.4600 ,416.7500 ,77.9500 ,56.8300 
1992-01-16,357.0000 ,18.9100 ,1.3500 ,97.0500 ,259.0000 ,571.6250 ,4.3380 ,8.3100 ,54.4200 ,175.0000 ,19.4500 ,413.0000 ,78.9000 ,56.3200 
1992-01-17,354.5000 ,19.1600 ,1.2460 ,97.3000 ,259.5000 ,579.0000 ,4.2900 ,8.5900 ,55.1100 ,176.8000 ,19.4800 ,420.0000 ,77.7000 ,56.3600 
1992-01-20,358.2000 ,19.0400 ,1.2270 ,97.1400 ,261.2500 ,573.6250 ,4.2770 ,8.4000 ,54.1800 ,176.5000 ,19.3500 ,422.5000 ,78.6000 ,56.1500 
1992-01-21,358.4000 ,18.7200 ,1.1900 ,96.9400 ,259.5000 ,578.1875 ,4.2850 ,8.4100 ,53.0000 ,177.1000 ,19.6500 ,424.0000 ,78.3000 ,55.7100 
1992-01-22,358.3000 ,18.9400 ,1.1550 ,97.5900 ,260.7500 ,576.3750 ,4.2930 ,8.6200 ,53.6900 ,176.6000 ,19.5000 ,427.2500 ,78.3000 ,56.4200 
1992-01-23,354.9000 ,18.7200 ,1.1260 ,97.0000 ,261.0000 ,572.6250 ,4.2250 ,8.6300 ,52.9300 ,176.0000 ,19.3200 ,437.5000 ,76.1000 ,56.4100 
1992-01-24,354.7000 ,19.0000 ,1.1680 ,98.8900 ,263.7500 ,581.3750 ,4.1630 ,8.6300 ,53.6900 ,178.4000 ,19.5400 ,437.2500 ,75.7000 ,55.5000 
1992-01-27,355.0000 ,19.3600 ,1.2180 ,98.3900 ,262.0000 ,576.6250 ,4.1680 ,8.5600 ,54.8500 ,177.3000 ,19.3700 ,439.2500 ,75.1000 ,54.1800 
1992-01-28,357.9000 ,19.1700 ,1.1810 ,99.0000 ,264.2500 ,581.3750 ,4.1880 ,8.3500 ,55.4100 ,179.1000 ,19.4600 ,437.5000 ,74.0500 ,53.3800 
1992-01-29,358.2000 ,18.8900 ,1.1800 ,99.0900 ,263.2500 ,576.1875 ,4.2480 ,8.3400 ,56.0200 ,176.8000 ,19.3600 ,441.5000 ,73.8500 ,53.9500 
1992-01-30,355.6000 ,18.9400 ,1.1660 ,99.0000 ,263.5000 ,572.6250 ,4.1450 ,8.3300 ,56.6700 ,175.2000 ,19.3800 ,436.0000 ,74.6000 ,53.8800 
1992-01-31,358.9000 ,18.9000 ,1.1800 ,98.5900 ,264.2500 ,572.0000 ,4.1800 ,8.1800 ,57.1100 ,175.8000 ,19.2000 ,440.2500 ,72.1500 ,53.0600 
1992-02-03,358.4000 ,18.9600 ,1.1760 ,97.5900 ,267.7500 ,577.3750 ,4.1700 ,8.0000 ,57.7900 ,177.2000 ,19.2300 ,448.0000 ,70.5000 ,53.2300 
1992-02-04,357.9000 ,19.2700 ,1.1980 ,97.5500 ,268.2500 ,577.6250 ,4.1730 ,8.0500 ,59.0700 ,178.6000 ,19.0000 ,449.2500 ,70.7500 ,54.6500 
1992-02-05,357.3000 ,19.5000 ,1.1890 ,98.3000 ,267.0000 ,576.1875 ,4.1980 ,8.1600 ,59.6100 ,177.6000 ,18.9800 ,446.5000 ,68.9000 ,54.3100 
1992-02-06,357.4000 ,19.5000 ,1.1830 ,98.1400 ,265.5000 ,573.1875 ,4.2180 ,8.1700 ,59.1500 ,176.6000 ,19.0000 ,449.7500 ,69.8500 ,54.0600 
1992-02-07,356.5000 ,19.8700 ,1.1900 ,98.4400 ,264.7500 ,570.3750 ,4.1920 ,8.1800 ,59.6600 ,175.4000 ,18.9300 ,452.5000 ,69.6500 ,54.5400 
1992-02-10,357.4000 ,19.7800 ,1.1960 ,98.2500 ,270.5000 ,578.6250 ,4.1980 ,8.1100 ,58.7800 ,177.3000 ,18.9700 ,459.5000 ,69.5000 ,54.4500 
1992-02-11,357.8000 ,19.2800 ,1.1300 ,98.5900 ,261.7500 ,566.3750 ,4.1830 ,7.8800 ,57.0700 ,173.9000 ,18.7200 ,439.5000 ,70.6000 ,53.2800 
1992-02-12,359.6000 ,19.2700 ,1.1360 ,101.6400 ,264.2500 ,570.0000 ,4.2130 ,7.9400 ,58.0100 ,172.7000 ,19.0100 ,424.5000 ,70.5500 ,54.6900 
1992-02-13,357.3000 ,19.6800 ,1.1150 ,101.9000 ,263.0000 ,570.1875 ,4.2030 ,8.0200 ,58.6300 ,172.8000 ,18.9700 ,422.2500 ,69.1500 ,53.3700 
1992-02-14,355.1000 ,19.4600 ,1.0790 ,102.4000 ,262.5000 ,568.3750 ,4.1580 ,8.0200 ,57.4800 ,172.1000 ,19.0500 ,427.0000 ,69.1000 ,53.6200 
1992-02-17,355.1000 ,19.4600 ,1.0790 ,102.4000 ,262.5000 ,568.3750 ,4.1580 ,8.0200 ,57.4800 ,172.1000 ,19.0500 ,427.0000 ,69.1000 ,53.6200 
1992-02-18,354.7000 ,18.2700 ,1.1000 ,102.2500 ,263.7500 ,572.3750 ,4.0580 ,8.5800 ,55.0800 ,173.3000 ,19.2400 ,411.5000 ,69.6500 ,53.4000 
1992-02-19,354.5000 ,18.7100 ,1.1200 ,100.9400 ,264.5000 ,577.1875 ,4.0550 ,8.4600 ,55.8200 ,173.4000 ,19.4600 ,411.7500 ,70.3000 ,53.9800 
1992-02-20,354.7000 ,18.7400 ,1.1350 ,101.5500 ,264.2500 ,577.6250 ,4.1230 ,8.4600 ,55.5000 ,174.1000 ,19.5300 ,417.5000 ,71.9000 ,53.6200 
1992-02-21,352.5000 ,18.6600 ,1.1860 ,101.0900 ,263.7500 ,576.6250 ,4.0980 ,8.1500 ,54.6400 ,174.6000 ,19.5800 ,415.5000 ,69.5500 ,55.5000 
1992-02-24,351.1000 ,18.4300 ,1.1750 ,102.1400 ,263.5000 ,580.0000 ,4.0930 ,8.1200 ,53.7000 ,175.2000 ,19.8600 ,408.2500 ,66.8000 ,55.5800 
1992-02-25,350.6000 ,18.4800 ,1.1800 ,101.5500 ,268.7500 ,587.2500 ,4.1020 ,8.1500 ,58.2000 ,177.2000 ,20.0300 ,403.2500 ,68.0000 ,57.1500 
1992-02-26,350.8000 ,18.4600 ,1.1800 ,102.9000 ,268.0000 ,580.7500 ,4.0950 ,7.9500 ,58.6900 ,175.8000 ,19.7800 ,410.5000 ,69.1000 ,56.9600 
1992-02-27,355.0000 ,18.7500 ,1.1560 ,103.2900 ,269.2500 ,582.0000 ,4.1400 ,7.9800 ,60.1700 ,175.7000 ,19.6900 ,406.5000 ,69.1500 ,56.6000 
1992-02-28,354.1000 ,18.6800 ,1.1710 ,103.1900 ,273.5000 ,589.2500 ,4.1350 ,8.0200 ,59.8300 ,176.9000 ,20.0100 ,400.0000 ,70.9000 ,56.7000 
1992-03-02,352.5000 ,18.3400 ,1.1670 ,102.4000 ,276.0000 ,592.0000 ,4.1480 ,8.0400 ,58.7500 ,178.6000 ,20.1500 ,401.7500 ,71.5000 ,57.2800 
1992-03-03,351.4000 ,18.6400 ,1.1670 ,102.1400 ,275.0000 ,589.5000 ,4.1350 ,8.2700 ,59.0600 ,178.1000 ,20.0200 ,390.5000 ,72.9500 ,57.0700 
1992-03-04,351.6000 ,18.6300 ,1.1910 ,102.4400 ,275.0000 ,599.0000 ,4.1430 ,8.2300 ,59.6100 ,179.7000 ,20.6900 ,391.0000 ,70.1000 ,55.8400 
1992-03-05,352.3000 ,18.5500 ,1.1800 ,101.7400 ,275.2500 ,597.0000 ,4.1650 ,8.1200 ,59.3200 ,178.1000 ,20.7000 ,394.0000 ,68.4000 ,55.1000 
1992-03-06,350.3000 ,18.5100 ,1.1650 ,101.1500 ,275.7500 ,601.0000 ,4.1830 ,8.1200 ,57.7300 ,177.9000 ,21.1200 ,392.7500 ,71.0500 ,54.0300 
1992-03-09,349.7000 ,18.6700 ,1.1800 ,100.8900 ,278.7500 ,600.2500 ,4.1880 ,8.2400 ,57.4700 ,177.4000 ,21.1300 ,403.2500 ,70.5500 ,54.8600 
1992-03-10,349.8000 ,18.6900 ,1.1880 ,102.0500 ,276.0000 ,596.2500 ,4.1730 ,8.3900 ,57.9900 ,177.2000 ,20.9400 ,400.2500 ,70.8500 ,54.4400 
1992-03-11,351.4000 ,18.5000 ,1.1840 ,101.2000 ,275.5000 ,598.5000 ,4.1750 ,8.3700 ,57.9700 ,176.7000 ,21.1800 ,394.0000 ,72.5000 ,53.8100 
1992-03-12,348.0000 ,18.8300 ,1.1970 ,100.8500 ,273.7500 ,593.0000 ,4.1130 ,8.3600 ,58.6300 ,175.9000 ,20.8900 ,390.2500 ,73.0000 ,54.6000 
1992-03-13,347.3000 ,19.1800 ,1.2120 ,101.0900 ,271.5000 ,596.0000 ,4.1250 ,8.3100 ,59.3500 ,176.6000 ,21.0800 ,385.0000 ,73.9000 ,54.2900 
1992-03-16,343.9000 ,19.1500 ,1.2270 ,100.8900 ,269.2500 ,592.5000 ,4.0870 ,8.4300 ,60.0200 ,176.8000 ,20.7300 ,384.0000 ,73.4000 ,55.3500 
1992-03-17,340.6000 ,19.3500 ,1.2450 ,101.9000 ,270.0000 ,595.2500 ,4.0700 ,8.3300 ,60.1600 ,177.2000 ,20.5600 ,387.2500 ,72.8500 ,54.9400 
1992-03-18,338.8000 ,19.2100 ,1.2470 ,101.9400 ,271.5000 ,596.7500 ,4.0520 ,8.4100 ,58.8300 ,178.9000 ,20.4400 ,386.5000 ,73.7000 ,55.8500 
1992-03-19,339.1000 ,19.4700 ,1.2530 ,101.9400 ,271.0000 ,599.0000 ,4.1420 ,8.4300 ,59.3200 ,181.6000 ,20.2700 ,388.7500 ,74.6000 ,56.6400 
1992-03-20,338.5000 ,19.0900 ,1.2680 ,100.8000 ,270.2500 ,585.5000 ,4.1320 ,8.4400 ,57.4800 ,179.2000 ,19.7800 ,389.2500 ,74.1000 ,56.6300 
1992-03-23,338.5000 ,19.1300 ,1.2760 ,101.2400 ,271.2500 ,587.2500 ,4.1070 ,8.2900 ,57.7600 ,178.5000 ,19.8600 ,392.0000 ,74.2500 ,56.4000 
1992-03-24,339.8000 ,19.2200 ,1.2810 ,101.3900 ,271.5000 ,586.0000 ,4.1070 ,8.3300 ,57.7900 ,177.2000 ,19.8300 ,387.7500 ,73.8500 ,56.3600 
1992-03-25,341.3000 ,19.1900 ,1.3790 ,101.0400 ,270.2500 ,588.5000 ,4.1020 ,8.3200 ,57.6800 ,178.8000 ,19.8700 ,384.0000 ,70.8500 ,56.9700 
1992-03-26,341.1000 ,19.2800 ,1.3220 ,101.3000 ,271.5000 ,586.0000 ,4.1050 ,8.2500 ,58.5500 ,178.9000 ,19.7400 ,386.2500 ,70.7500 ,57.9400 
1992-03-27,342.5000 ,19.1600 ,1.3260 ,101.2000 ,270.0000 ,584.2500 ,4.1550 ,8.3800 ,58.4800 ,177.8000 ,19.7500 ,384.5000 ,70.2000 ,58.7800 
1992-03-30,343.8000 ,19.2500 ,1.3320 ,101.3000 ,266.5000 ,585.7500 ,4.1400 ,8.5300 ,59.8700 ,178.7000 ,19.7700 ,383.5000 ,67.9500 ,58.0700 
1992-03-31,345.5000 ,19.4400 ,1.3570 ,101.6400 ,264.2500 ,588.2500 ,4.1430 ,8.6800 ,60.5600 ,178.7000 ,19.8300 ,379.0000 ,68.5000 ,59.1000 
1992-04-01,344.6000 ,19.8400 ,1.3810 ,102.7000 ,260.0000 ,577.2500 ,4.1030 ,8.7700 ,62.2900 ,175.6000 ,19.6100 ,369.2500 ,69.4500 ,58.6500 
1992-04-02,342.4000 ,19.8000 ,1.3520 ,103.4900 ,259.2500 ,575.5000 ,4.0870 ,9.1300 ,61.7200 ,174.4000 ,19.5700 ,362.7500 ,69.9000 ,59.4000 
1992-04-03,342.7000 ,20.2900 ,1.3190 ,103.0500 ,260.2500 ,576.2500 ,4.0870 ,9.1800 ,62.6500 ,174.2000 ,19.6000 ,367.2500 ,71.4000 ,60.4900 
1992-04-06,341.8000 ,20.4500 ,1.3150 ,102.7000 ,262.0000 ,578.0000 ,4.1100 ,9.0000 ,63.4700 ,174.3000 ,19.6100 ,369.7500 ,71.8000 ,60.3300 
1992-04-07,340.1000 ,20.2300 ,1.2850 ,102.4000 ,257.2500 ,570.5000 ,4.0830 ,9.8000 ,62.3200 ,173.7000 ,19.4800 ,364.5000 ,69.8000 ,59.4400 
1992-04-08,339.3000 ,20.6200 ,1.3050 ,100.3400 ,253.0000 ,566.7500 ,4.0880 ,9.8200 ,62.7100 ,172.3000 ,19.3500 ,366.5000 ,71.2500 ,58.2500 
1992-04-09,340.9000 ,20.3100 ,1.3100 ,100.7400 ,253.5000 ,568.5000 ,4.1130 ,9.7300 ,61.7200 ,172.9000 ,19.4500 ,362.5000 ,69.5000 ,58.6500 
1992-04-10,342.5000 ,20.4400 ,1.2940 ,99.8900 ,253.5000 ,571.0000 ,4.1080 ,9.5600 ,61.3900 ,173.8000 ,19.3900 ,361.0000 ,68.9000 ,58.3500 
1992-04-13,340.6000 ,20.2200 ,1.2700 ,99.3400 ,253.5000 ,571.0000 ,4.0930 ,9.6700 ,59.7600 ,173.8000 ,19.3900 ,361.0000 ,65.6500 ,57.1600 
1992-04-14,340.8000 ,19.8600 ,1.2760 ,99.3900 ,253.5000 ,571.0000 ,4.1080 ,9.4300 ,58.2300 ,173.8000 ,19.3900 ,361.0000 ,66.1000 ,57.1600 
1992-04-15,337.0000 ,19.8700 ,1.3400 ,99.5500 ,253.2500 ,575.5000 ,4.0130 ,9.4700 ,59.3700 ,175.2000 ,19.5200 ,361.0000 ,64.5000 ,56.9800 
1992-04-16,338.3000 ,20.2100 ,1.3610 ,98.9400 ,253.5000 ,575.2500 ,3.9730 ,9.5900 ,61.1500 ,174.9000 ,19.4900 ,362.7500 ,63.2500 ,57.1500 
1992-04-17,338.3000 ,20.2100 ,1.3610 ,98.9400 ,253.5000 ,575.2500 ,3.9730 ,9.5900 ,61.1500 ,174.9000 ,19.4900 ,362.7500 ,63.2500 ,57.1500 
1992-04-20,337.7000 ,20.4300 ,1.3710 ,98.5500 ,255.2500 ,579.5000 ,3.9680 ,9.4800 ,61.7800 ,176.7000 ,19.4500 ,369.0000 ,66.0500 ,57.3000 
1992-04-21,341.7000 ,20.4400 ,1.3800 ,99.5000 ,256.5000 ,583.7500 ,3.9950 ,9.5400 ,62.4800 ,176.8000 ,19.8500 ,371.5000 ,66.3000 ,59.1300 
1992-04-22,339.8000 ,20.1100 ,1.4350 ,99.5500 ,251.2500 ,577.0000 ,4.0180 ,9.7200 ,61.6500 ,175.2000 ,19.6700 ,374.0000 ,65.5000 ,59.2000 
1992-04-23,339.3000 ,20.1100 ,1.4500 ,100.0900 ,252.0000 ,581.5000 ,4.0130 ,10.2800 ,61.7000 ,175.9000 ,19.7900 ,380.7500 ,67.1500 ,60.7500 
1992-04-24,337.5000 ,20.2200 ,1.3860 ,100.1500 ,249.5000 ,575.0000 ,3.9650 ,9.9900 ,62.1700 ,174.3000 ,19.6000 ,386.7500 ,66.4500 ,61.0200 
1992-04-27,337.1000 ,20.2900 ,1.3830 ,100.1500 ,251.5000 ,579.7500 ,3.9730 ,9.5900 ,63.1600 ,176.7000 ,19.6500 ,366.5000 ,65.4000 ,61.9900 
1992-04-28,337.2000 ,20.4100 ,1.4090 ,100.6900 ,251.2500 ,580.2500 ,3.9710 ,9.6400 ,63.5500 ,176.6000 ,19.5400 ,360.0000 ,64.8500 ,61.7500 
1992-04-29,336.4000 ,20.7700 ,1.4500 ,100.0400 ,250.7500 ,579.0000 ,3.9830 ,9.7100 ,63.9500 ,176.2000 ,19.5800 ,354.7500 ,64.2000 ,61.4400 
1992-04-30,337.9000 ,20.8500 ,1.4220 ,100.4500 ,249.5000 ,580.2500 ,4.0150 ,9.3600 ,64.3000 ,176.2000 ,19.5800 ,353.5000 ,62.9000 ,62.4000 
1992-05-01,339.3000 ,20.8500 ,1.4310 ,99.8000 ,253.2500 ,590.2500 ,4.0250 ,9.4500 ,64.6900 ,177.9000 ,20.0300 ,359.0000 ,61.8500 ,60.8900 
1992-05-04,337.6000 ,21.1200 ,1.4580 ,100.5000 ,259.7500 ,592.2500 ,4.0280 ,9.4900 ,66.4500 ,177.8000 ,20.4600 ,374.7500 ,61.4000 ,61.8100 
1992-05-05,337.8000 ,20.8000 ,1.5290 ,100.0400 ,257.7500 ,592.2500 ,4.0800 ,9.6000 ,65.5700 ,177.8000 ,20.4800 ,371.7500 ,60.2500 ,61.0900 
1992-05-06,337.5000 ,20.7700 ,1.4960 ,100.4500 ,260.0000 ,594.0000 ,4.0900 ,9.5400 ,65.2500 ,179.8000 ,20.4000 ,371.7500 ,59.2500 ,59.8500 
1992-05-07,335.9000 ,20.7100 ,1.4840 ,101.2000 ,263.2500 ,597.7500 ,4.0580 ,9.7000 ,64.7700 ,181.2000 ,20.4600 ,376.5000 ,60.7000 ,60.1800 
1992-05-08,336.3000 ,20.8600 ,1.4750 ,101.2400 ,261.2500 ,594.2500 ,4.0980 ,9.6700 ,64.8700 ,179.8000 ,20.4200 ,369.7500 ,60.8000 ,59.2200 
1992-05-11,337.0000 ,21.0000 ,1.4900 ,101.3900 ,258.0000 ,593.7500 ,4.1130 ,9.6800 ,65.3300 ,179.0000 ,20.5400 ,365.7500 ,61.9000 ,59.6500 
1992-05-12,335.8000 ,20.9600 ,1.5430 ,101.0900 ,259.5000 ,605.0000 ,4.1080 ,9.6700 ,64.8200 ,182.6000 ,20.8100 ,363.5000 ,62.9500 ,60.6200 
1992-05-13,336.1000 ,20.7600 ,1.5620 ,100.6900 ,261.0000 ,619.5000 ,4.1030 ,9.7000 ,63.7100 ,188.2000 ,21.1200 ,362.7500 ,63.7500 ,62.5500 
1992-05-14,338.4000 ,20.5500 ,1.6230 ,100.3400 ,263.2500 ,615.5000 ,4.1230 ,9.6100 ,62.9900 ,186.5000 ,21.1900 ,355.5000 ,62.9500 ,61.6300 
1992-05-15,339.1000 ,20.6900 ,1.6570 ,100.5000 ,261.7500 ,615.2500 ,4.1020 ,9.6500 ,63.6800 ,186.4000 ,21.0600 ,352.7500 ,65.0000 ,61.1500 
1992-05-18,339.3000 ,20.7100 ,1.5600 ,100.5900 ,262.2500 ,623.5000 ,4.1020 ,9.3500 ,62.9700 ,188.3000 ,21.2800 ,355.2500 ,64.4000 ,60.6500 
1992-05-19,338.2000 ,20.3500 ,1.6050 ,101.1500 ,254.2500 ,607.5000 ,4.0920 ,9.3900 ,62.0100 ,184.1000 ,20.8600 ,345.5000 ,65.6000 ,58.6500 
1992-05-20,338.4000 ,20.4000 ,1.6300 ,100.9400 ,255.0000 ,609.0000 ,4.0920 ,9.4200 ,62.2700 ,184.6000 ,20.9300 ,341.5000 ,64.3000 ,59.0500 
1992-05-21,337.4000 ,20.9000 ,1.5300 ,101.0900 ,252.2500 ,593.7500 ,4.0770 ,9.3500 ,63.2900 ,179.0000 ,20.5100 ,340.0000 ,64.3500 ,57.0500 
1992-05-22,338.1000 ,20.9400 ,1.5450 ,101.3500 ,253.0000 ,596.0000 ,4.0970 ,9.4700 ,63.9400 ,179.8000 ,20.5400 ,342.2500 ,63.5000 ,56.6700 
1992-05-25,338.1000 ,20.9400 ,1.5450 ,101.3500 ,253.0000 ,596.0000 ,4.0970 ,9.4700 ,63.9400 ,179.8000 ,20.5400 ,342.2500 ,63.5000 ,56.6700 
1992-05-26,340.1000 ,22.0000 ,1.6300 ,101.0900 ,256.2500 ,602.7500 ,4.1020 ,9.5400 ,66.8000 ,181.4000 ,20.7900 ,349.0000 ,64.3000 ,56.9000 
1992-05-27,340.0000 ,21.9200 ,1.5900 ,100.8000 ,259.0000 ,605.0000 ,4.0950 ,9.9000 ,66.0200 ,182.4000 ,20.8600 ,351.5000 ,64.1000 ,57.8300 
1992-05-28,339.0000 ,21.9500 ,1.6170 ,100.8500 ,257.0000 ,603.5000 ,4.0650 ,9.8500 ,66.0000 ,181.8000 ,20.8600 ,351.7500 ,62.5500 ,58.1200 
1992-05-29,338.4000 ,22.1100 ,1.6250 ,101.0900 ,259.5000 ,614.0000 ,4.0220 ,10.0300 ,66.5300 ,183.2000 ,21.2900 ,349.5000 ,63.3000 ,58.0400 
1992-06-01,339.6000 ,22.0300 ,1.6600 ,102.2900 ,258.7500 ,620.5000 ,4.0470 ,9.7300 ,65.9200 ,184.2000 ,21.9400 ,354.0000 ,63.3000 ,58.4300 
1992-06-02,341.2000 ,22.1100 ,1.6520 ,102.3400 ,263.0000 ,630.0000 ,4.0830 ,9.8900 ,65.7900 ,187.1000 ,22.0900 ,358.0000 ,61.1500 ,59.1000 
1992-06-03,340.6000 ,22.4300 ,1.5860 ,102.0900 ,262.7500 ,621.5000 ,4.0680 ,10.0300 ,67.3100 ,184.4000 ,21.8200 ,365.5000 ,61.9500 ,58.8800 
1992-06-04,340.6000 ,22.4800 ,1.6090 ,104.3900 ,262.7500 ,619.7500 ,4.0830 ,10.3400 ,67.1700 ,183.9000 ,21.7500 ,367.5000 ,61.8000 ,58.5800 
1992-06-05,340.7000 ,22.6200 ,1.6530 ,104.1900 ,258.7500 ,606.2500 ,4.0580 ,10.2300 ,67.2400 ,180.1000 ,21.4300 ,366.5000 ,61.5500 ,58.5700 
1992-06-08,340.1000 ,22.4400 ,1.6250 ,103.8400 ,263.5000 ,621.5000 ,4.0480 ,10.1500 ,67.1700 ,184.2000 ,21.7500 ,369.5000 ,61.6000 ,60.4400 
1992-06-09,340.2000 ,22.3200 ,1.6340 ,103.9900 ,264.0000 ,630.0000 ,4.0480 ,10.0100 ,66.8700 ,185.9000 ,22.0700 ,376.5000 ,61.6000 ,61.4900 
1992-06-10,339.8000 ,22.5100 ,1.6190 ,103.2900 ,263.7500 ,625.7500 ,4.0580 ,10.2300 ,67.1600 ,184.7000 ,22.0500 ,373.0000 ,60.4500 ,60.6400 
1992-06-11,342.3000 ,22.3500 ,1.5920 ,102.9500 ,261.7500 ,620.2500 ,4.1050 ,10.1000 ,66.1000 ,184.7000 ,21.7300 ,363.2500 ,60.0000 ,61.7300 
1992-06-12,344.7000 ,22.3000 ,1.5350 ,103.4000 ,259.2500 ,618.2500 ,4.1280 ,10.2700 ,65.9800 ,183.8000 ,21.6300 ,360.0000 ,60.8500 ,62.7200 
1992-06-15,344.9000 ,22.3600 ,1.5630 ,103.4500 ,247.5000 ,594.7500 ,4.1380 ,10.5100 ,65.7200 ,179.4000 ,20.6300 ,352.7500 ,61.9500 ,62.4000 
1992-06-16,344.0000 ,22.3000 ,1.6030 ,103.5400 ,249.7500 ,595.5000 ,4.1030 ,10.5300 ,65.3800 ,180.5000 ,20.4200 ,353.2500 ,62.6000 ,60.9100 
1992-06-17,342.9000 ,22.2900 ,1.6050 ,104.1900 ,251.5000 ,602.7500 ,4.0900 ,11.0500 ,65.5900 ,181.5000 ,20.7500 ,354.7500 ,61.4500 ,61.9500 
1992-06-18,344.2000 ,22.2600 ,1.5910 ,104.3900 ,249.7500 ,603.7500 ,4.0920 ,10.8100 ,65.2100 ,181.9000 ,20.6900 ,352.5000 ,60.4000 ,62.1800 
1992-06-19,342.4000 ,22.3500 ,1.5560 ,104.7400 ,251.2500 ,603.2500 ,4.0230 ,10.7600 ,65.3500 ,180.8000 ,20.8400 ,357.2500 ,60.8000 ,62.2000 
1992-06-22,345.2000 ,22.4800 ,1.5450 ,104.3900 ,248.0000 ,595.5000 ,4.0380 ,10.9400 ,64.9500 ,179.9000 ,20.6100 ,354.2500 ,59.8000 ,63.9800 
1992-06-23,346.0000 ,22.5900 ,1.4830 ,104.8000 ,251.2500 ,603.5000 ,4.0330 ,10.9600 ,65.1300 ,181.2000 ,20.7100 ,351.5000 ,58.9000 ,63.5100 
1992-06-24,344.3000 ,22.8900 ,1.5210 ,106.8400 ,249.7500 ,599.2500 ,4.0230 ,10.9100 ,65.1500 ,180.7000 ,20.6600 ,348.7500 ,58.8500 ,64.0000 
1992-06-25,344.6000 ,22.5800 ,1.5300 ,107.6900 ,253.5000 ,608.0000 ,4.0030 ,10.9700 ,63.4400 ,182.6000 ,20.8300 ,349.7500 ,57.9500 ,63.6800 
1992-06-26,343.9000 ,22.4400 ,1.5190 ,107.3400 ,254.0000 ,608.0000 ,3.9750 ,10.9900 ,62.9000 ,183.6000 ,20.8700 ,348.7500 ,59.0000 ,64.2000 
1992-06-29,345.1000 ,22.2400 ,1.5080 ,110.7900 ,255.5000 ,609.0000 ,4.0380 ,9.9700 ,62.4800 ,183.8000 ,20.8400 ,354.0000 ,58.5000 ,64.1700 
1992-06-30,344.4000 ,21.6000 ,1.5180 ,109.7000 ,253.2500 ,605.7500 ,4.0580 ,9.7600 ,60.9400 ,181.6000 ,20.7400 ,352.5000 ,58.1000 ,64.0100 
1992-07-01,345.6000 ,21.8600 ,1.5510 ,109.8500 ,257.7500 ,602.2500 ,4.0580 ,9.3000 ,61.7800 ,181.3000 ,20.7900 ,348.2500 ,59.4000 ,63.2700 
1992-07-02,347.6000 ,22.1000 ,1.5790 ,111.9900 ,253.2500 ,593.7500 ,4.0600 ,9.3000 ,62.4500 ,180.0000 ,20.4100 ,339.5000 ,60.0000 ,63.5800 
1992-07-03,347.6000 ,22.1000 ,1.5790 ,111.9900 ,253.2500 ,593.7500 ,4.0600 ,9.3000 ,62.4500 ,180.0000 ,20.4100 ,339.5000 ,60.0000 ,63.5800 
